 id_cliente |    nombre    | apellido | total_gastado | puesto 
      57073 | Cliente17073 | TP317073 |     105208.00 |     57
      40283 | Cliente00283 | TP300283 |     105196.00 |     58
      58308 | Cliente18308 | TP318308 |     105124.00 |     59
      47639 | Cliente07639 | TP307639 |     104998.00 |     60
      56708 | Cliente16708 | TP316708 |     104941.00 |     61
      57943 | Cliente17943 | TP317943 |     104857.00 |     62
      41153 | Cliente01153 | TP301153 |     104845.00 |     63
      42388 | Cliente02388 | TP302388 |     104761.00 |     64
      56343 | Cliente16343 | TP316343 |     104674.00 |     65
      57578 | Cliente17578 | TP317578 |     104590.00 |     66
      47274 | Cliente07274 | TP307274 |     104550.00 |     67
      58813 | Cliente18813 | TP318813 |     104506.00 |     68
      42023 | Cliente02023 | TP302023 |     104494.00 |     69
      41658 | Cliente01658 | TP301658 |     104227.00 |     70
      40788 | Cliente00788 | TP300788 |     104133.00 |     71
      55978 | Cliente15978 | TP315978 |     103962.00 |     72
      57213 | Cliente17213 | TP317213 |     103878.00 |     73
      40423 | Cliente00423 | TP300423 |     103866.00 |     74
      58448 | Cliente18448 | TP318448 |     103794.00 |     75
      46544 | Cliente06544 | TP306544 |     103654.00 |     76
      56848 | Cliente16848 | TP316848 |     103611.00 |     77
      58083 | Cliente18083 | TP318083 |     103527.00 |     78
      41293 | Cliente01293 | TP301293 |     103515.00 |     79
      46179 | Cliente06179 | TP306179 |     103473.00 |     80
      45814 | Cliente05814 | TP305814 |     103292.00 |     81
      55613 | Cliente15613 | TP315613 |     103250.00 |     82
      40058 | Cliente00058 | TP300058 |     103154.00 |     83
      55248 | Cliente15248 | TP315248 |     102983.00 |     84
      56483 | Cliente16483 | TP316483 |     102899.00 |     85
      57718 | Cliente17718 | TP317718 |     102815.00 |     86
      40928 | Cliente00928 | TP300928 |     102803.00 |     87
      45084 | Cliente05084 | TP305084 |     102663.00 |     88
      56118 | Cliente16118 | TP316118 |     102632.00 |     89
      59553 | Cliente19553 | TP319553 |     102622.00 |     90
      57353 | Cliente17353 | TP317353 |     102548.00 |     91
      40563 | Cliente00563 | TP300563 |     102536.00 |     92
      59188 | Cliente19188 | TP319188 |     102533.00 |     93
      56988 | Cliente16988 | TP316988 |     102281.00 |     94
      54883 | Cliente14883 | TP314883 |     102271.00 |     95
      44719 | Cliente04719 | TP304719 |     102215.00 |     96
      44354 | Cliente04354 | TP304354 |     102034.00 |     97
      54518 | Cliente14518 | TP314518 |     102004.00 |     98
      55753 | Cliente15753 | TP315753 |     101920.00 |     99
      58458 | Cliente18458 | TP318458 |     101910.00 |    100
      40198 | Cliente00198 | TP300198 |     101824.00 |    101
      56623 | Cliente16623 | TP316623 |     101569.00 |    102
      58093 | Cliente18093 | TP318093 |     101376.00 |    103
      56258 | Cliente16258 | TP316258 |     101302.00 |    104
      55388 | Cliente15388 | TP315388 |     101208.00 |    105
      43624 | Cliente03624 | TP303624 |     101138.00 |    106
      53788 | Cliente13788 | TP313788 |     101025.00 |    107
      43259 | Cliente03259 | TP303259 |     100957.00 |    108
      55023 | Cliente15023 | TP315023 |     100941.00 |    109
      57728 | Cliente17728 | TP317728 |     100842.00 |    110
      42894 | Cliente02894 | TP302894 |     100776.00 |    111
      53423 | Cliente13423 | TP313423 |     100758.00 |    112
      57363 | Cliente17363 | TP317363 |     100753.00 |    113
      54658 | Cliente14658 | TP314658 |     100674.00 |    114
      55893 | Cliente15893 | TP315893 |     100590.00 |    115
      56998 | Cliente16998 | TP316998 |     100219.00 |    116
      42164 | Cliente02164 | TP302164 |     100147.00 |    117
      54293 | Cliente14293 | TP314293 |      99962.00 |    118
      55528 | Cliente15528 | TP315528 |      99878.00 |    119
      41799 | Cliente01799 | TP301799 |      99699.00 |    120
      53928 | Cliente13928 | TP313928 |      99695.00 |    121
      56633 | Cliente16633 | TP316633 |      99685.00 |    122
      55163 | Cliente15163 | TP315163 |      99611.00 |    123
      56268 | Cliente16268 | TP316268 |      99596.00 |    124
      41434 | Cliente01434 | TP301434 |      99518.00 |    125
      55903 | Cliente15903 | TP315903 |      99062.00 |    126
      53563 | Cliente13563 | TP313563 |      98983.00 |    127
      55538 | Cliente15538 | TP315538 |      98973.00 |    128
      54798 | Cliente14798 | TP314798 |      98899.00 |    129
      53198 | Cliente13198 | TP313198 |      98716.00 |    130
      54433 | Cliente14433 | TP314433 |      98632.00 |    131
      40704 | Cliente00704 | TP300704 |      98622.00 |    132
      40339 | Cliente00339 | TP300339 |      98441.00 |    133
      55173 | Cliente15173 | TP315173 |      98439.00 |    134
      54068 | Cliente14068 | TP314068 |      98365.00 |    135
      52833 | Cliente12833 | TP312833 |      98004.00 |    136
      54808 | Cliente14808 | TP314808 |      97905.00 |    137
      54443 | Cliente14443 | TP314443 |      97816.00 |    138
      53703 | Cliente13703 | TP313703 |      97653.00 |    139
      53338 | Cliente13338 | TP313338 |      97386.00 |    140
      52468 | Cliente12468 | TP312468 |      97292.00 |    141
      54078 | Cliente14078 | TP314078 |      97282.00 |    142
      52103 | Cliente12103 | TP312103 |      97025.00 |    143
      51738 | Cliente11738 | TP311738 |      96758.00 |    144
      53713 | Cliente13713 | TP313713 |      96748.00 |    145
      49988 | Cliente09988 | TP309988 |      96736.00 |    146
      52973 | Cliente12973 | TP312973 |      96674.00 |    147
      53348 | Cliente13348 | TP313348 |      96659.00 |    148
      49623 | Cliente09623 | TP309623 |      96202.00 |    149
      52983 | Cliente12983 | TP312983 |      96125.00 |    150
      49258 | Cliente09258 | TP309258 |      96113.00 |    151
      51373 | Cliente11373 | TP311373 |      96046.00 |    152
      52618 | Cliente12618 | TP312618 |      96036.00 |    153
      52608 | Cliente12608 | TP312608 |      95962.00 |    154
      51008 | Cliente11008 | TP311008 |      95779.00 |    155
      52243 | Cliente12243 | TP312243 |      95695.00 |    156
      48893 | Cliente08893 | TP308893 |      95579.00 |    157
      52253 | Cliente12253 | TP312253 |      95502.00 |    158
      50643 | Cliente10643 | TP310643 |      95067.00 |    159
      48528 | Cliente08528 | TP308528 |      95045.00 |    160
      51878 | Cliente11878 | TP311878 |      94983.00 |    161
      51888 | Cliente11888 | TP311888 |      94968.00 |    162
      48163 | Cliente08163 | TP308163 |      94956.00 |    163
      51523 | Cliente11523 | TP311523 |      94879.00 |    164
      50278 | Cliente10278 | TP310278 |      94800.00 |    165
      51513 | Cliente11513 | TP311513 |      94716.00 |    166
      51148 | Cliente11148 | TP311148 |      94449.00 |    167
      47798 | Cliente07798 | TP307798 |      94422.00 |    168
      51158 | Cliente11158 | TP311158 |      94345.00 |    169
      49913 | Cliente09913 | TP309913 |      94088.00 |    170
      47433 | Cliente07433 | TP307433 |      93888.00 |    171
      50793 | Cliente10793 | TP310793 |      93811.00 |    172
      50783 | Cliente10783 | TP310783 |      93737.00 |    173
      50428 | Cliente10428 | TP310428 |      93722.00 |    174
      50418 | Cliente10418 | TP310418 |      93470.00 |    175
      49698 | Cliente09698 | TP309698 |      93455.00 |    176
      49548 | Cliente09548 | TP309548 |      93376.00 |    177
      47068 | Cliente07068 | TP307068 |      93354.00 |    178
      46703 | Cliente06703 | TP306703 |      93265.00 |    179
      50063 | Cliente10063 | TP310063 |      93188.00 |    180
      46338 | Cliente06338 | TP306338 |      93176.00 |    181
      47658 | Cliente07658 | TP307658 |      93169.00 |    182
      49183 | Cliente09183 | TP309183 |      93109.00 |    183
      40479 | Cliente00479 | TP300479 |      93002.00 |    184
      49333 | Cliente09333 | TP309333 |      92921.00 |    185
      48818 | Cliente08818 | TP308818 |      92842.00 |    186
      50053 | Cliente10053 | TP310053 |      92758.00 |    187
      45973 | Cliente05973 | TP305973 |      92642.00 |    188
      47293 | Cliente07293 | TP307293 |      92635.00 |    189
      40114 | Cliente00114 | TP300114 |      92554.00 |    190
      46928 | Cliente06928 | TP306928 |      92546.00 |    191
      48968 | Cliente08968 | TP308968 |      92387.00 |    192
      48603 | Cliente08603 | TP308603 |      92298.00 |    193
      48453 | Cliente08453 | TP308453 |      92130.00 |    194
      45608 | Cliente05608 | TP305608 |      92108.00 |    195
      49688 | Cliente09688 | TP309688 |      92046.00 |    196
      45243 | Cliente05243 | TP305243 |      92019.00 |    197
      46563 | Cliente06563 | TP306563 |      92012.00 |    198
      46198 | Cliente06198 | TP306198 |      91923.00 |    199
      48088 | Cliente08088 | TP308088 |      91863.00 |    200
      49323 | Cliente09323 | TP309323 |      91779.00 |    201
      48238 | Cliente08238 | TP308238 |      91764.00 |    202
      44878 | Cliente04878 | TP304878 |      91485.00 |    203
      45833 | Cliente05833 | TP305833 |      91389.00 |    204
      53984 | Cliente13984 | TP313984 |      91269.00 |    205
      47873 | Cliente07873 | TP307873 |      91230.00 |    206
      47723 | Cliente07723 | TP307723 |      91151.00 |    207
      47508 | Cliente07508 | TP307508 |      91141.00 |    208
      48958 | Cliente08958 | TP308958 |      91067.00 |    209
      44513 | Cliente04513 | TP304513 |      90951.00 |    210
      47358 | Cliente07358 | TP307358 |      90884.00 |    211
      45468 | Cliente05468 | TP305468 |      90855.00 |    212
      53619 | Cliente13619 | TP313619 |      90821.00 |    213
      48593 | Cliente08593 | TP308593 |      90800.00 |    214
      45103 | Cliente05103 | TP305103 |      90766.00 |    215
      53254 | Cliente13254 | TP313254 |      90640.00 |    216
      47143 | Cliente07143 | TP307143 |      90607.00 |    217
      48228 | Cliente08228 | TP308228 |      90533.00 |    218
      50728 | Cliente10728 | TP310728 |      90523.00 |    219
      46778 | Cliente06778 | TP306778 |      90518.00 |    220
      50363 | Cliente10363 | TP310363 |      90434.00 |    221
      44148 | Cliente04148 | TP304148 |      90417.00 |    222
      43783 | Cliente03783 | TP303783 |      90328.00 |    223
      43418 | Cliente03418 | TP303418 |      90239.00 |    224
      44738 | Cliente04738 | TP304738 |      90232.00 |    225
      46993 | Cliente06993 | TP306993 |      90172.00 |    226
      46413 | Cliente06413 | TP306413 |      89984.00 |    227
      49998 | Cliente09998 | TP309998 |      89900.00 |    228
      47863 | Cliente07863 | TP307863 |      89821.00 |    229
      52524 | Cliente12524 | TP312524 |      89744.00 |    230
      43053 | Cliente03053 | TP303053 |      89705.00 |    231
      44373 | Cliente04373 | TP304373 |      89698.00 |    232
      44008 | Cliente04008 | TP304008 |      89609.00 |    233
      52159 | Cliente12159 | TP312159 |      89563.00 |    234
      47498 | Cliente07498 | TP307498 |      89554.00 |    235
      46628 | Cliente06628 | TP306628 |      89460.00 |    236
      46048 | Cliente06048 | TP306048 |      89450.00 |    237
      49633 | Cliente09633 | TP309633 |      89366.00 |    238
      45683 | Cliente05683 | TP305683 |      89361.00 |    239
      49268 | Cliente09268 | TP309268 |      89277.00 |    240
      46263 | Cliente06263 | TP306263 |      89193.00 |    241
      42688 | Cliente02688 | TP302688 |      89171.00 |    242
      51794 | Cliente11794 | TP311794 |      89115.00 |    243
      42323 | Cliente02323 | TP302323 |      89082.00 |    244
      43643 | Cliente03643 | TP303643 |      89075.00 |    245
      42444 | Cliente02444 | TP302444 |      89002.00 |    246
      43278 | Cliente03278 | TP303278 |      88986.00 |    247
      47133 | Cliente07133 | TP307133 |      88842.00 |    248
      45318 | Cliente05318 | TP305318 |      88827.00 |    249
      42079 | Cliente02079 | TP302079 |      88821.00 |    250
      51064 | Cliente11064 | TP311064 |      88753.00 |    251
      48903 | Cliente08903 | TP308903 |      88743.00 |    252
      41714 | Cliente01714 | TP301714 |      88640.00 |    253
      41958 | Cliente01958 | TP301958 |      88548.00 |    254
      45898 | Cliente05898 | TP305898 |      88481.00 |    255
      42913 | Cliente02913 | TP302913 |      88452.00 |    256
      50699 | Cliente10699 | TP310699 |      88305.00 |    257
      44953 | Cliente04953 | TP304953 |      88293.00 |    258
      45533 | Cliente05533 | TP305533 |      88214.00 |    259
      48538 | Cliente08538 | TP308538 |      88209.00 |    260
      44588 | Cliente04588 | TP304588 |      88204.00 |    261
      46768 | Cliente06768 | TP306768 |      88130.00 |    262
      50334 | Cliente10334 | TP310334 |      88124.00 |    263
      48173 | Cliente08173 | TP308173 |      88120.00 |    264
      41593 | Cliente01593 | TP301593 |      88014.00 |    265
      45168 | Cliente05168 | TP305168 |      87947.00 |    266
      42548 | Cliente02548 | TP302548 |      87918.00 |    267
      54573 | Cliente14573 | TP314573 |      87901.00 |    268
      56679 | Cliente16679 | TP316679 |      87898.00 |    269
      46403 | Cliente06403 | TP306403 |      87863.00 |    270
      42183 | Cliente02183 | TP302183 |      87829.00 |    271
      40984 | Cliente00984 | TP300984 |      87744.00 |    272
      56314 | Cliente16314 | TP316314 |      87717.00 |    273
      44223 | Cliente04223 | TP304223 |      87670.00 |    274
      47808 | Cliente07808 | TP307808 |      87586.00 |    275
      43858 | Cliente03858 | TP303858 |      87581.00 |    276
      47443 | Cliente07443 | TP307443 |      87497.00 |    277
      41228 | Cliente01228 | TP301228 |      87480.00 |    278
      40863 | Cliente00863 | TP300863 |      87391.00 |    279
      54208 | Cliente14208 | TP314208 |      87367.00 |    280
      40498 | Cliente00498 | TP300498 |      87302.00 |    281
      40619 | Cliente00619 | TP300619 |      87296.00 |    282
      41818 | Cliente01818 | TP301818 |      87295.00 |    283
      44803 | Cliente04803 | TP304803 |      87235.00 |    284
      49604 | Cliente09604 | TP309604 |      87228.00 |    285
      46038 | Cliente06038 | TP306038 |      87151.00 |    286
      40254 | Cliente00254 | TP300254 |      87115.00 |    287
      43493 | Cliente03493 | TP303493 |      87047.00 |    288
      49239 | Cliente09239 | TP309239 |      87047.00 |    288
      44438 | Cliente04438 | TP304438 |      86968.00 |    290
      47078 | Cliente07078 | TP307078 |      86963.00 |    291
      45673 | Cliente05673 | TP305673 |      86884.00 |    292
      53843 | Cliente13843 | TP313843 |      86833.00 |    293
      55584 | Cliente15584 | TP315584 |      86821.00 |    294
      40133 | Cliente00133 | TP300133 |      86768.00 |    295
      41453 | Cliente01453 | TP301453 |      86761.00 |    296
      53478 | Cliente13478 | TP313478 |      86744.00 |    297
      41088 | Cliente01088 | TP301088 |      86672.00 |    298
      55219 | Cliente15219 | TP315219 |      86640.00 |    299
      48874 | Cliente08874 | TP308874 |      86599.00 |    300
      43128 | Cliente03128 | TP303128 |      86513.00 |    301
      46713 | Cliente06713 | TP306713 |      86429.00 |    302
      42763 | Cliente02763 | TP302763 |      86424.00 |    303
      46348 | Cliente06348 | TP306348 |      86340.00 |    304
      44073 | Cliente04073 | TP304073 |      86256.00 |    305
      48144 | Cliente08144 | TP308144 |      86237.00 |    306
      53113 | Cliente13113 | TP313113 |      86210.00 |    307
      54854 | Cliente14854 | TP314854 |      86192.00 |    308
      40723 | Cliente00723 | TP300723 |      86138.00 |    309
      40358 | Cliente00358 | TP300358 |      86049.00 |    310
      44943 | Cliente04943 | TP304943 |      85905.00 |    311
      42398 | Cliente02398 | TP302398 |      85890.00 |    312
      59693 | Cliente19693 | TP319693 |      85871.00 |    313
      51654 | Cliente11654 | TP311654 |      85819.00 |    314
      45983 | Cliente05983 | TP305983 |      85806.00 |    315
      47779 | Cliente07779 | TP307779 |      85789.00 |    316
      59328 | Cliente19328 | TP319328 |      85782.00 |    317
      52748 | Cliente12748 | TP312748 |      85676.00 |    318
      44578 | Cliente04578 | TP304578 |      85638.00 |    319
      47414 | Cliente07414 | TP307414 |      85608.00 |    320
      54124 | Cliente14124 | TP314124 |      85563.00 |    321
      43708 | Cliente03708 | TP303708 |      85544.00 |    322
      53759 | Cliente13759 | TP313759 |      85382.00 |    323
      42033 | Cliente02033 | TP302033 |      85356.00 |    324
      43343 | Cliente03343 | TP303343 |      85277.00 |    325
      45618 | Cliente05618 | TP305618 |      85272.00 |    326
      41668 | Cliente01668 | TP301668 |      85267.00 |    327
      58963 | Cliente18963 | TP318963 |      85248.00 |    328
      53394 | Cliente13394 | TP313394 |      85201.00 |    329
      50924 | Cliente10924 | TP310924 |      85190.00 |    330
      45253 | Cliente05253 | TP305253 |      85183.00 |    331
      58598 | Cliente18598 | TP318598 |      85159.00 |    332
      52383 | Cliente12383 | TP312383 |      85142.00 |    333
      52018 | Cliente12018 | TP312018 |      85053.00 |    334
      50559 | Cliente10559 | TP310559 |      85009.00 |    335
      51653 | Cliente11653 | TP311653 |      84964.00 |    336
      41303 | Cliente01303 | TP301303 |      84733.00 |    337
      46684 | Cliente06684 | TP306684 |      84712.00 |    338
      44888 | Cliente04888 | TP304888 |      84649.00 |    339
      40938 | Cliente00938 | TP300938 |      84644.00 |    340
      42258 | Cliente02258 | TP302258 |      84637.00 |    341
      58233 | Cliente18233 | TP318233 |      84625.00 |    342
      42978 | Cliente02978 | TP302978 |      84565.00 |    343
      50194 | Cliente10194 | TP310194 |      84561.00 |    344
      44523 | Cliente04523 | TP304523 |      84560.00 |    345
      46319 | Cliente06319 | TP306319 |      84531.00 |    346
      45421 | Cliente05421 | TP305421 |      84462.00 |    347
      51288 | Cliente11288 | TP311288 |      84430.00 |    348
      52664 | Cliente12664 | TP312664 |      84305.00 |    349
      42613 | Cliente02613 | TP302613 |      84298.00 |    350
      45056 | Cliente05056 | TP305056 |      84258.00 |    351
      52299 | Cliente12299 | TP312299 |      84124.00 |    352
      40573 | Cliente00573 | TP300573 |      84110.00 |    353
      41893 | Cliente01893 | TP301893 |      84103.00 |    354
      57868 | Cliente17868 | TP317868 |      84091.00 |    355
      45954 | Cliente05954 | TP305954 |      84083.00 |    356
      44691 | Cliente04691 | TP304691 |      84054.00 |    357
      42248 | Cliente02248 | TP302248 |      84031.00 |    358
      44158 | Cliente04158 | TP304158 |      84026.00 |    359
      41528 | Cliente01528 | TP301528 |      84014.00 |    360
      57503 | Cliente17503 | TP317503 |      84002.00 |    361
      41163 | Cliente01163 | TP301163 |      83925.00 |    362
      50923 | Cliente10923 | TP310923 |      83896.00 |    363
      59843 | Cliente19843 | TP319843 |      83843.00 |    364
      50558 | Cliente10558 | TP310558 |      83807.00 |    365
      45224 | Cliente05224 | TP305224 |      83721.00 |    366
      59908 | Cliente19908 | TP319908 |      83692.00 |    367
      51934 | Cliente11934 | TP311934 |      83676.00 |    368
      49464 | Cliente09464 | TP309464 |      83665.00 |    369
      40208 | Cliente00208 | TP300208 |      83576.00 |    370
      44326 | Cliente04326 | TP304326 |      83494.00 |    371
      43793 | Cliente03793 | TP303793 |      83492.00 |    372
      49099 | Cliente09099 | TP309099 |      83484.00 |    373
      57138 | Cliente17138 | TP317138 |      83468.00 |    374
      43428 | Cliente03428 | TP303428 |      83403.00 |    375
      40798 | Cliente00798 | TP300798 |      83391.00 |    376
      59478 | Cliente19478 | TP319478 |      83309.00 |    377
      48734 | Cliente08734 | TP308734 |      83303.00 |    378
      44859 | Cliente04859 | TP304859 |      83273.00 |    379
      50193 | Cliente10193 | TP310193 |      83273.00 |    379
      44494 | Cliente04494 | TP304494 |      83092.00 |    381
      51204 | Cliente11204 | TP311204 |      83047.00 |    382
      59543 | Cliente19543 | TP319543 |      82980.00 |    383
      43961 | Cliente03961 | TP303961 |      82934.00 |    384
      56773 | Cliente16773 | TP316773 |      82934.00 |    384
      43063 | Cliente03063 | TP303063 |      82869.00 |    386
      50839 | Cliente10839 | TP310839 |      82866.00 |    387
      40433 | Cliente00433 | TP300433 |      82857.00 |    388
      56408 | Cliente16408 | TP316408 |      82845.00 |    389
      59824 | Cliente19824 | TP319824 |      82798.00 |    390
      59113 | Cliente19113 | TP319113 |      82775.00 |    391
      49828 | Cliente09828 | TP309828 |      82739.00 |    392
      59178 | Cliente19178 | TP319178 |      82713.00 |    393
      58748 | Cliente18748 | TP318748 |      82686.00 |    394
      50474 | Cliente10474 | TP310474 |      82685.00 |    395
      48004 | Cliente08004 | TP308004 |      82674.00 |    396
      53413 | Cliente13413 | TP313413 |      82655.00 |    397
      59703 | Cliente19703 | TP319703 |      82590.00 |    398
      43596 | Cliente03596 | TP303596 |      82374.00 |    399
      59459 | Cliente19459 | TP319459 |      82350.00 |    400
      42698 | Cliente02698 | TP302698 |      82335.00 |    401
      40068 | Cliente00068 | TP300068 |      82323.00 |    402
      56043 | Cliente16043 | TP316043 |      82311.00 |    403
      50708 | Cliente10708 | TP310708 |      82280.00 |    404
      42333 | Cliente02333 | TP302333 |      82246.00 |    405
      55678 | Cliente15678 | TP315678 |      82222.00 |    406
      49463 | Cliente09463 | TP309463 |      82205.00 |    407
      43764 | Cliente03764 | TP303764 |      82196.00 |    408
      50343 | Cliente10343 | TP310343 |      82191.00 |    409
      43231 | Cliente03231 | TP303231 |      82170.00 |    410
      59094 | Cliente19094 | TP319094 |      82169.00 |    411
      58383 | Cliente18383 | TP318383 |      82152.00 |    412
      53048 | Cliente13048 | TP313048 |      82121.00 |    413
      49098 | Cliente09098 | TP309098 |      82116.00 |    414
      58018 | Cliente18018 | TP318018 |      82063.00 |    415
      59338 | Cliente19338 | TP319338 |      82056.00 |    416
      52683 | Cliente12683 | TP312683 |      82032.00 |    417
      48733 | Cliente08733 | TP308733 |      82027.00 |    418
      43399 | Cliente03399 | TP303399 |      82015.00 |    419
      42866 | Cliente02866 | TP302866 |      81966.00 |    420
      52318 | Cliente12318 | TP312318 |      81943.00 |    421
      49613 | Cliente09613 | TP309613 |      81924.00 |    422
      49744 | Cliente09744 | TP309744 |      81789.00 |    423
      41968 | Cliente01968 | TP301968 |      81712.00 |    424
      55313 | Cliente15313 | TP315313 |      81688.00 |    425
      41603 | Cliente01603 | TP301603 |      81623.00 |    426
      49379 | Cliente09379 | TP309379 |      81608.00 |    427
      43034 | Cliente03034 | TP303034 |      81567.00 |    428
      57653 | Cliente17653 | TP317653 |      81529.00 |    429
      58973 | Cliente18973 | TP318973 |      81522.00 |    430
      48368 | Cliente08368 | TP308368 |      81493.00 |    431
      58608 | Cliente18608 | TP318608 |      81433.00 |    432
      51953 | Cliente11953 | TP311953 |      81409.00 |    433
      42501 | Cliente02501 | TP302501 |      81406.00 |    434
      49248 | Cliente09248 | TP309248 |      81390.00 |    435
      59291 | Cliente19291 | TP319291 |      81330.00 |    436
      58364 | Cliente18364 | TP318364 |      81273.00 |    437
      42304 | Cliente02304 | TP302304 |      81205.00 |    438
      42136 | Cliente02136 | TP302136 |      81202.00 |    439
      49014 | Cliente09014 | TP309014 |      81160.00 |    440
      54948 | Cliente14948 | TP314948 |      81154.00 |    441
      57999 | Cliente17999 | TP317999 |      81092.00 |    442
      41238 | Cliente01238 | TP301238 |      81089.00 |    443
      54583 | Cliente14583 | TP314583 |      81065.00 |    444
      57288 | Cliente17288 | TP317288 |      80995.00 |    445
      48003 | Cliente08003 | TP308003 |      80959.00 |    446
      57634 | Cliente17634 | TP317634 |      80911.00 |    447
      56923 | Cliente16923 | TP316923 |      80906.00 |    448
      58243 | Cliente18243 | TP318243 |      80899.00 |    449
      51588 | Cliente11588 | TP311588 |      80875.00 |    450
      47638 | Cliente07638 | TP307638 |      80870.00 |    451
      48883 | Cliente08883 | TP308883 |      80856.00 |    452
      57878 | Cliente17878 | TP317878 |      80810.00 |    453
      58926 | Cliente18926 | TP318926 |      80770.00 |    454
      48518 | Cliente08518 | TP308518 |      80767.00 |    455
      41939 | Cliente01939 | TP301939 |      80757.00 |    456
      59918 | Cliente19918 | TP319918 |      80651.00 |    457
      41771 | Cliente01771 | TP301771 |      80642.00 |    458
      41574 | Cliente01574 | TP301574 |      80576.00 |    459
      40873 | Cliente00873 | TP300873 |      80555.00 |    460
      48284 | Cliente08284 | TP308284 |      80531.00 |    461
      54218 | Cliente14218 | TP314218 |      80531.00 |    461
      40508 | Cliente00508 | TP300508 |      80466.00 |    463
      41406 | Cliente01406 | TP301406 |      80438.00 |    464
      56558 | Cliente16558 | TP316558 |      80372.00 |    465
      47919 | Cliente07919 | TP307919 |      80350.00 |    466
      51223 | Cliente11223 | TP311223 |      80341.00 |    467
      47273 | Cliente07273 | TP307273 |      80336.00 |    468
      56904 | Cliente16904 | TP316904 |      80282.00 |    469
      57513 | Cliente17513 | TP317513 |      80276.00 |    470
      50858 | Cliente10858 | TP310858 |      80252.00 |    471
      48153 | Cliente08153 | TP308153 |      80233.00 |    472
      58561 | Cliente18561 | TP318561 |      80210.00 |    473
      47554 | Cliente07554 | TP307554 |      80169.00 |    474
      58196 | Cliente18196 | TP318196 |      80006.00 |    475
      53853 | Cliente13853 | TP313853 |      79997.00 |    476
      58823 | Cliente18823 | TP318823 |      79939.00 |    477
      40143 | Cliente00143 | TP300143 |      79932.00 |    478
      53488 | Cliente13488 | TP313488 |      79908.00 |    479
      41041 | Cliente01041 | TP301041 |      79878.00 |    480
