 id_categoria |   nombre   | cantidad_productos_activos | valor_lista_total 
      102271 | TP3_SB2026TP3_PRODUCTO_002271 | Almacen    |      3509.00
      102302 | TP3_SB2026TP3_PRODUCTO_002302 | Bebidas    |      4656.00
      102329 | TP3_SB2026TP3_PRODUCTO_002329 | Perfumeria |      1154.00
      102353 | TP3_SB2026TP3_PRODUCTO_002353 | Limpieza   |      2042.00
      102356 | TP3_SB2026TP3_PRODUCTO_002356 | Almacen    |      2153.00
      102358 | TP3_SB2026TP3_PRODUCTO_002358 | Limpieza   |      2227.00
      102382 | TP3_SB2026TP3_PRODUCTO_002382 | Bebidas    |      3115.00
      102411 | TP3_SB2026TP3_PRODUCTO_002411 | Almacen    |      4188.00
      102467 | TP3_SB2026TP3_PRODUCTO_002467 | Bebidas    |      1759.00
      102469 | TP3_SB2026TP3_PRODUCTO_002469 | Perfumeria |      1833.00
      102522 | TP3_SB2026TP3_PRODUCTO_002522 | Bebidas    |      3794.00
      102549 | TP3_SB2026TP3_PRODUCTO_002549 | Perfumeria |      4793.00
      102551 | TP3_SB2026TP3_PRODUCTO_002551 | Almacen    |      4867.00
      102578 | TP3_SB2026TP3_PRODUCTO_002578 | Limpieza   |      1365.00
      102583 | TP3_SB2026TP3_PRODUCTO_002583 | Limpieza   |      1550.00
      102607 | TP3_SB2026TP3_PRODUCTO_002607 | Bebidas    |      2438.00
      102638 | TP3_SB2026TP3_PRODUCTO_002638 | Limpieza   |      3585.00
      102665 | TP3_SB2026TP3_PRODUCTO_002665 | Congelados |      4584.00
      102667 | TP3_SB2026TP3_PRODUCTO_002667 | Bebidas    |      4658.00
      102694 | TP3_SB2026TP3_PRODUCTO_002694 | Perfumeria |      1156.00
      102718 | TP3_SB2026TP3_PRODUCTO_002718 | Limpieza   |      2044.00
      102723 | TP3_SB2026TP3_PRODUCTO_002723 | Limpieza   |      2229.00
      102747 | TP3_SB2026TP3_PRODUCTO_002747 | Bebidas    |      3117.00
      102776 | TP3_SB2026TP3_PRODUCTO_002776 | Almacen    |      4190.00
      102778 | TP3_SB2026TP3_PRODUCTO_002778 | Limpieza   |      4264.00
      102805 | TP3_SB2026TP3_PRODUCTO_002805 | Congelados |       762.00
      102832 | TP3_SB2026TP3_PRODUCTO_002832 | Bebidas    |      1761.00
      102834 | TP3_SB2026TP3_PRODUCTO_002834 | Perfumeria |      1835.00
      102863 | TP3_SB2026TP3_PRODUCTO_002863 | Limpieza   |      2908.00
      102887 | TP3_SB2026TP3_PRODUCTO_002887 | Bebidas    |      3796.00
      102916 | TP3_SB2026TP3_PRODUCTO_002916 | Almacen    |      4869.00
      102943 | TP3_SB2026TP3_PRODUCTO_002943 | Limpieza   |      1367.00
      102945 | TP3_SB2026TP3_PRODUCTO_002945 | Congelados |      1441.00
      103003 | TP3_SB2026TP3_PRODUCTO_003003 | Limpieza   |      3587.00
      103027 | TP3_SB2026TP3_PRODUCTO_003027 | Bebidas    |      4475.00
      103032 | TP3_SB2026TP3_PRODUCTO_003032 | Bebidas    |      4660.00
      103059 | TP3_SB2026TP3_PRODUCTO_003059 | Perfumeria |      1158.00
      103083 | TP3_SB2026TP3_PRODUCTO_003083 | Limpieza   |      2046.00
      103088 | TP3_SB2026TP3_PRODUCTO_003088 | Limpieza   |      2231.00
      103114 | TP3_SB2026TP3_PRODUCTO_003114 | Perfumeria |      3193.00
      103141 | TP3_SB2026TP3_PRODUCTO_003141 | Almacen    |      4192.00
      103143 | TP3_SB2026TP3_PRODUCTO_003143 | Limpieza   |      4266.00
      103170 | TP3_SB2026TP3_PRODUCTO_003170 | Congelados |       764.00
      103199 | TP3_SB2026TP3_PRODUCTO_003199 | Perfumeria |      1837.00
      103223 | TP3_SB2026TP3_PRODUCTO_003223 | Limpieza   |      2725.00
      103252 | TP3_SB2026TP3_PRODUCTO_003252 | Bebidas    |      3798.00
      103254 | TP3_SB2026TP3_PRODUCTO_003254 | Perfumeria |      3872.00
      103281 | TP3_SB2026TP3_PRODUCTO_003281 | Almacen    |      4871.00
      103308 | TP3_SB2026TP3_PRODUCTO_003308 | Limpieza   |      1369.00
      103310 | TP3_SB2026TP3_PRODUCTO_003310 | Congelados |      1443.00
      103339 | TP3_SB2026TP3_PRODUCTO_003339 | Perfumeria |      2516.00
      103368 | TP3_SB2026TP3_PRODUCTO_003368 | Limpieza   |      3589.00
      103392 | TP3_SB2026TP3_PRODUCTO_003392 | Bebidas    |      4477.00
      103397 | TP3_SB2026TP3_PRODUCTO_003397 | Bebidas    |      4662.00
      103421 | TP3_SB2026TP3_PRODUCTO_003421 | Almacen    |      1049.00
      103448 | TP3_SB2026TP3_PRODUCTO_003448 | Limpieza   |      2048.00
      103479 | TP3_SB2026TP3_PRODUCTO_003479 | Perfumeria |      3195.00
      103508 | TP3_SB2026TP3_PRODUCTO_003508 | Limpieza   |      4268.00
      103535 | TP3_SB2026TP3_PRODUCTO_003535 | Congelados |       766.00
      103537 | TP3_SB2026TP3_PRODUCTO_003537 | Bebidas    |       840.00
      103564 | TP3_SB2026TP3_PRODUCTO_003564 | Perfumeria |      1839.00
      103590 | TP3_SB2026TP3_PRODUCTO_003590 | Congelados |      2801.00
      103617 | TP3_SB2026TP3_PRODUCTO_003617 | Bebidas    |      3800.00
      103619 | TP3_SB2026TP3_PRODUCTO_003619 | Perfumeria |      3874.00
      103646 | TP3_SB2026TP3_PRODUCTO_003646 | Almacen    |      4873.00
      103675 | TP3_SB2026TP3_PRODUCTO_003675 | Congelados |      1445.00
      103706 | TP3_SB2026TP3_PRODUCTO_003706 | Almacen    |      2592.00
      103730 | TP3_SB2026TP3_PRODUCTO_003730 | Congelados |      3480.00
      103733 | TP3_SB2026TP3_PRODUCTO_003733 | Limpieza   |      3591.00
      103757 | TP3_SB2026TP3_PRODUCTO_003757 | Bebidas    |      4479.00
      103762 | TP3_SB2026TP3_PRODUCTO_003762 | Bebidas    |      4664.00
      103786 | TP3_SB2026TP3_PRODUCTO_003786 | Almacen    |      1051.00
      103815 | TP3_SB2026TP3_PRODUCTO_003815 | Congelados |      2124.00
      103844 | TP3_SB2026TP3_PRODUCTO_003844 | Perfumeria |      3197.00
      103846 | TP3_SB2026TP3_PRODUCTO_003846 | Almacen    |      3271.00
      103873 | TP3_SB2026TP3_PRODUCTO_003873 | Limpieza   |      4270.00
      103897 | TP3_SB2026TP3_PRODUCTO_003897 | Bebidas    |       657.00
      103902 | TP3_SB2026TP3_PRODUCTO_003902 | Bebidas    |       842.00
      103955 | TP3_SB2026TP3_PRODUCTO_003955 | Congelados |      2803.00
      103984 | TP3_SB2026TP3_PRODUCTO_003984 | Perfumeria |      3876.00
      104011 | TP3_SB2026TP3_PRODUCTO_004011 | Almacen    |      4875.00
      104013 | TP3_SB2026TP3_PRODUCTO_004013 | Limpieza   |      4949.00
      104066 | TP3_SB2026TP3_PRODUCTO_004066 | Almacen    |      2409.00
      104071 | TP3_SB2026TP3_PRODUCTO_004071 | Almacen    |      2594.00
      104095 | TP3_SB2026TP3_PRODUCTO_004095 | Congelados |      3482.00
      104122 | TP3_SB2026TP3_PRODUCTO_004122 | Bebidas    |      4481.00
      104127 | TP3_SB2026TP3_PRODUCTO_004127 | Bebidas    |      4666.00
      104151 | TP3_SB2026TP3_PRODUCTO_004151 | Almacen    |      1053.00
      104182 | TP3_SB2026TP3_PRODUCTO_004182 | Bebidas    |      2200.00
      104206 | TP3_SB2026TP3_PRODUCTO_004206 | Almacen    |      3088.00
      104209 | TP3_SB2026TP3_PRODUCTO_004209 | Perfumeria |      3199.00
      104211 | TP3_SB2026TP3_PRODUCTO_004211 | Almacen    |      3273.00
      104238 | TP3_SB2026TP3_PRODUCTO_004238 | Limpieza   |      4272.00
      104262 | TP3_SB2026TP3_PRODUCTO_004262 | Bebidas    |       659.00
      104267 | TP3_SB2026TP3_PRODUCTO_004267 | Bebidas    |       844.00
      104291 | TP3_SB2026TP3_PRODUCTO_004291 | Almacen    |      1732.00
      104322 | TP3_SB2026TP3_PRODUCTO_004322 | Bebidas    |      2879.00
      104349 | TP3_SB2026TP3_PRODUCTO_004349 | Perfumeria |      3878.00
      104378 | TP3_SB2026TP3_PRODUCTO_004378 | Limpieza   |      4951.00
      104407 | TP3_SB2026TP3_PRODUCTO_004407 | Bebidas    |      1523.00
      104431 | TP3_SB2026TP3_PRODUCTO_004431 | Almacen    |      2411.00
      104436 | TP3_SB2026TP3_PRODUCTO_004436 | Almacen    |      2596.00
      104487 | TP3_SB2026TP3_PRODUCTO_004487 | Bebidas    |      4483.00
      104489 | TP3_SB2026TP3_PRODUCTO_004489 | Perfumeria |      4557.00
      104516 | TP3_SB2026TP3_PRODUCTO_004516 | Almacen    |      1055.00
      104547 | TP3_SB2026TP3_PRODUCTO_004547 | Bebidas    |      2202.00
      104571 | TP3_SB2026TP3_PRODUCTO_004571 | Almacen    |      3090.00
      104576 | TP3_SB2026TP3_PRODUCTO_004576 | Almacen    |      3275.00
      104603 | TP3_SB2026TP3_PRODUCTO_004603 | Limpieza   |      4274.00
      104627 | TP3_SB2026TP3_PRODUCTO_004627 | Bebidas    |       661.00
      104632 | TP3_SB2026TP3_PRODUCTO_004632 | Bebidas    |       846.00
      104685 | TP3_SB2026TP3_PRODUCTO_004685 | Congelados |      2807.00
      104687 | TP3_SB2026TP3_PRODUCTO_004687 | Bebidas    |      2881.00
      104714 | TP3_SB2026TP3_PRODUCTO_004714 | Perfumeria |      3880.00
      104716 | TP3_SB2026TP3_PRODUCTO_004716 | Almacen    |      3954.00
      104743 | TP3_SB2026TP3_PRODUCTO_004743 | Limpieza   |      4953.00
      104767 | TP3_SB2026TP3_PRODUCTO_004767 | Bebidas    |      1340.00
      104796 | TP3_SB2026TP3_PRODUCTO_004796 | Almacen    |      2413.00
      104798 | TP3_SB2026TP3_PRODUCTO_004798 | Limpieza   |      2487.00
      104825 | TP3_SB2026TP3_PRODUCTO_004825 | Congelados |      3486.00
      104854 | TP3_SB2026TP3_PRODUCTO_004854 | Perfumeria |      4559.00
      104883 | TP3_SB2026TP3_PRODUCTO_004883 | Limpieza   |      1131.00
      104912 | TP3_SB2026TP3_PRODUCTO_004912 | Bebidas    |      2204.00
      104936 | TP3_SB2026TP3_PRODUCTO_004936 | Almacen    |      3092.00
      104941 | TP3_SB2026TP3_PRODUCTO_004941 | Almacen    |      3277.00
      104965 | TP3_SB2026TP3_PRODUCTO_004965 | Congelados |      4165.00
      104992 | TP3_SB2026TP3_PRODUCTO_004992 | Bebidas    |       663.00
      105023 | TP3_SB2026TP3_PRODUCTO_005023 | Limpieza   |      1810.00
      105052 | TP3_SB2026TP3_PRODUCTO_005052 | Bebidas    |      2883.00
      105079 | TP3_SB2026TP3_PRODUCTO_005079 | Perfumeria |      3882.00
      105081 | TP3_SB2026TP3_PRODUCTO_005081 | Almacen    |      3956.00
      105108 | TP3_SB2026TP3_PRODUCTO_005108 | Limpieza   |      4955.00
      105161 | TP3_SB2026TP3_PRODUCTO_005161 | Almacen    |      2415.00
      105163 | TP3_SB2026TP3_PRODUCTO_005163 | Limpieza   |      2489.00
      105190 | TP3_SB2026TP3_PRODUCTO_005190 | Congelados |      3488.00
      105192 | TP3_SB2026TP3_PRODUCTO_005192 | Bebidas    |      3562.00
      105219 | TP3_SB2026TP3_PRODUCTO_005219 | Perfumeria |      4561.00
      105248 | TP3_SB2026TP3_PRODUCTO_005248 | Limpieza   |      1133.00
      105274 | TP3_SB2026TP3_PRODUCTO_005274 | Perfumeria |      2095.00
      105301 | TP3_SB2026TP3_PRODUCTO_005301 | Almacen    |      3094.00
      105306 | TP3_SB2026TP3_PRODUCTO_005306 | Almacen    |      3279.00
      105330 | TP3_SB2026TP3_PRODUCTO_005330 | Congelados |      4167.00
      105359 | TP3_SB2026TP3_PRODUCTO_005359 | Perfumeria |       739.00
      105388 | TP3_SB2026TP3_PRODUCTO_005388 | Limpieza   |      1812.00
      105390 | TP3_SB2026TP3_PRODUCTO_005390 | Congelados |      1886.00
      105417 | TP3_SB2026TP3_PRODUCTO_005417 | Bebidas    |      2885.00
      105441 | TP3_SB2026TP3_PRODUCTO_005441 | Almacen    |      3773.00
      105446 | TP3_SB2026TP3_PRODUCTO_005446 | Almacen    |      3958.00
      105499 | TP3_SB2026TP3_PRODUCTO_005499 | Perfumeria |      1418.00
      105528 | TP3_SB2026TP3_PRODUCTO_005528 | Limpieza   |      2491.00
      105555 | TP3_SB2026TP3_PRODUCTO_005555 | Congelados |      3490.00
      105557 | TP3_SB2026TP3_PRODUCTO_005557 | Bebidas    |      3564.00
      105584 | TP3_SB2026TP3_PRODUCTO_005584 | Perfumeria |      4563.00
      105615 | TP3_SB2026TP3_PRODUCTO_005615 | Congelados |      1209.00
      105639 | TP3_SB2026TP3_PRODUCTO_005639 | Perfumeria |      2097.00
      105666 | TP3_SB2026TP3_PRODUCTO_005666 | Almacen    |      3096.00
      105668 | TP3_SB2026TP3_PRODUCTO_005668 | Limpieza   |      3170.00
      105671 | TP3_SB2026TP3_PRODUCTO_005671 | Almacen    |      3281.00
      105695 | TP3_SB2026TP3_PRODUCTO_005695 | Congelados |      4169.00
      105724 | TP3_SB2026TP3_PRODUCTO_005724 | Perfumeria |       741.00
      105750 | TP3_SB2026TP3_PRODUCTO_005750 | Congelados |      1703.00
      105755 | TP3_SB2026TP3_PRODUCTO_005755 | Congelados |      1888.00
      105782 | TP3_SB2026TP3_PRODUCTO_005782 | Bebidas    |      2887.00
      105806 | TP3_SB2026TP3_PRODUCTO_005806 | Almacen    |      3775.00
      105811 | TP3_SB2026TP3_PRODUCTO_005811 | Almacen    |      3960.00
      105835 | TP3_SB2026TP3_PRODUCTO_005835 | Congelados |      4848.00
      105864 | TP3_SB2026TP3_PRODUCTO_005864 | Perfumeria |      1420.00
      105866 | TP3_SB2026TP3_PRODUCTO_005866 | Almacen    |      1494.00
      105893 | TP3_SB2026TP3_PRODUCTO_005893 | Limpieza   |      2493.00
      105922 | TP3_SB2026TP3_PRODUCTO_005922 | Bebidas    |      3566.00
      105951 | TP3_SB2026TP3_PRODUCTO_005951 | Almacen    |      4639.00
      105975 | TP3_SB2026TP3_PRODUCTO_005975 | Congelados |      1026.00
      106004 | TP3_SB2026TP3_PRODUCTO_006004 | Perfumeria |      2099.00
      106031 | TP3_SB2026TP3_PRODUCTO_006031 | Almacen    |      3098.00
      106033 | TP3_SB2026TP3_PRODUCTO_006033 | Limpieza   |      3172.00
      106091 | TP3_SB2026TP3_PRODUCTO_006091 | Almacen    |       817.00
      106115 | TP3_SB2026TP3_PRODUCTO_006115 | Congelados |      1705.00
      106144 | TP3_SB2026TP3_PRODUCTO_006144 | Perfumeria |      2778.00
      106147 | TP3_SB2026TP3_PRODUCTO_006147 | Bebidas    |      2889.00
      106171 | TP3_SB2026TP3_PRODUCTO_006171 | Almacen    |      3777.00
      106176 | TP3_SB2026TP3_PRODUCTO_006176 | Almacen    |      3962.00
      106231 | TP3_SB2026TP3_PRODUCTO_006231 | Almacen    |      1496.00
      106258 | TP3_SB2026TP3_PRODUCTO_006258 | Limpieza   |      2495.00
      106287 | TP3_SB2026TP3_PRODUCTO_006287 | Bebidas    |      3568.00
      106316 | TP3_SB2026TP3_PRODUCTO_006316 | Almacen    |      4641.00
      106342 | TP3_SB2026TP3_PRODUCTO_006342 | Bebidas    |      1102.00
      106369 | TP3_SB2026TP3_PRODUCTO_006369 | Perfumeria |      2101.00
      106398 | TP3_SB2026TP3_PRODUCTO_006398 | Limpieza   |      3174.00
      106427 | TP3_SB2026TP3_PRODUCTO_006427 | Bebidas    |      4247.00
      106456 | TP3_SB2026TP3_PRODUCTO_006456 | Almacen    |       819.00
      106485 | TP3_SB2026TP3_PRODUCTO_006485 | Congelados |      1892.00
      106509 | TP3_SB2026TP3_PRODUCTO_006509 | Perfumeria |      2780.00
      106536 | TP3_SB2026TP3_PRODUCTO_006536 | Almacen    |      3779.00
      106567 | TP3_SB2026TP3_PRODUCTO_006567 | Bebidas    |      4926.00
      106596 | TP3_SB2026TP3_PRODUCTO_006596 | Almacen    |      1498.00
      106623 | TP3_SB2026TP3_PRODUCTO_006623 | Limpieza   |      2497.00
      106625 | TP3_SB2026TP3_PRODUCTO_006625 | Congelados |      2571.00
      106652 | TP3_SB2026TP3_PRODUCTO_006652 | Bebidas    |      3570.00
      106654 | TP3_SB2026TP3_PRODUCTO_006654 | Perfumeria |      3644.00
      106707 | TP3_SB2026TP3_PRODUCTO_006707 | Bebidas    |      1104.00
      106734 | TP3_SB2026TP3_PRODUCTO_006734 | Perfumeria |      2103.00
      106736 | TP3_SB2026TP3_PRODUCTO_006736 | Almacen    |      2177.00
      106763 | TP3_SB2026TP3_PRODUCTO_006763 | Limpieza   |      3176.00
      106792 | TP3_SB2026TP3_PRODUCTO_006792 | Bebidas    |      4249.00
      106845 | TP3_SB2026TP3_PRODUCTO_006845 | Congelados |      1709.00
      106850 | TP3_SB2026TP3_PRODUCTO_006850 | Congelados |      1894.00
      106874 | TP3_SB2026TP3_PRODUCTO_006874 | Perfumeria |      2782.00
      106903 | TP3_SB2026TP3_PRODUCTO_006903 | Limpieza   |      3855.00
      106932 | TP3_SB2026TP3_PRODUCTO_006932 | Bebidas    |      4928.00
      106961 | TP3_SB2026TP3_PRODUCTO_006961 | Almacen    |      1500.00
      106985 | TP3_SB2026TP3_PRODUCTO_006985 | Congelados |      2388.00
      106990 | TP3_SB2026TP3_PRODUCTO_006990 | Congelados |      2573.00
      107019 | TP3_SB2026TP3_PRODUCTO_007019 | Perfumeria |      3646.00
      107043 | TP3_SB2026TP3_PRODUCTO_007043 | Limpieza   |      4534.00
      107072 | TP3_SB2026TP3_PRODUCTO_007072 | Bebidas    |      1106.00
      107099 | TP3_SB2026TP3_PRODUCTO_007099 | Perfumeria |      2105.00
      107101 | TP3_SB2026TP3_PRODUCTO_007101 | Almacen    |      2179.00
      107128 | TP3_SB2026TP3_PRODUCTO_007128 | Limpieza   |      3178.00
      107130 | TP3_SB2026TP3_PRODUCTO_007130 | Congelados |      3252.00
      107159 | TP3_SB2026TP3_PRODUCTO_007159 | Perfumeria |      4325.00
      107183 | TP3_SB2026TP3_PRODUCTO_007183 | Limpieza   |       712.00
      107210 | TP3_SB2026TP3_PRODUCTO_007210 | Congelados |      1711.00
      107212 | TP3_SB2026TP3_PRODUCTO_007212 | Bebidas    |      1785.00
